,NP,F,CR
0,20.0,0.6396299728180098,0.7632576310188922
1,10.0,0.5807329650843385,0.7535209193833166
2,23.0,0.8141820995518437,0.9385423644311064
3,20.0,0.7359274079808418,0.5622590293043291
4,21.0,0.6562657338924921,0.7350106080736706
5,23.0,0.6653756949493284,0.3470277203887185
6,12.0,0.6426538302552303,0.8336217155297737
7,18.0,0.4741714480540048,0.8060997445995914
8,13.0,0.5057775545295682,0.1459338570552149
9,20.0,0.4007851551802456,0.2041929830762116
10,22.0,0.852350984569011,0.5068485611467821
11,16.0,0.7887474163135606,0.3035002759070167
12,6.0,0.8101193731115368,0.9592571435936368
13,10.0,0.8619013662681033,0.8802138632170129
14,19.0,0.5887443445765942,0.2828434875076004
15,9.0,0.96506418076732,0.6538564492652195
16,22.0,0.7570772275766064,0.2864580827895654
17,16.0,0.9849161153531,0.3511517447914563
18,13.0,0.8789820920966226,0.5311041173685932
19,17.0,0.4601980329053122,0.12545827506105856
20,20.0,0.6396299728180098,0.7632576310188922
21,10.0,0.5807329650843385,0.7535209193833166
22,23.0,0.8141820995518437,0.9385423644311064
23,20.0,0.7359274079808418,0.5622590293043291
24,21.0,0.6562657338924921,0.7350106080736706
25,23.0,0.6653756949493284,0.3470277203887185
26,12.0,0.6426538302552303,0.8336217155297737
27,18.0,0.4741714480540048,0.8060997445995914
28,13.0,0.5057775545295682,0.1459338570552149
29,20.0,0.4007851551802456,0.2041929830762116
30,23.0,0.4403832176799095,0.6459354310388994
31,22.0,0.5291938325439596,0.2487120161966047
32,9.0,0.544565001264214,0.9460287229613968
33,12.0,0.4371367210860863,0.6867870973901832
34,25.0,0.9964215281304072,0.1851888972489233
35,29.0,0.5455034649651671,0.2602975703285461
36,31.0,0.9644870109010512,0.12235142782700426
37,21.0,0.4863181127624918,0.3739931183697456
38,10.0,0.5680211506696138,0.27081178470062484
39,28.0,0.9302392228877792,0.35063467716731755
40,23.0,0.4403832176799095,0.6459354310388994
41,22.0,0.5291938325439596,0.2487120161966047
42,9.0,0.544565001264214,0.9460287229613968
43,12.0,0.4371367210860863,0.6867870973901832
44,25.0,0.9964215281304072,0.1851888972489233
45,29.0,0.5455034649651671,0.2602975703285461
46,31.0,0.9644870109010512,0.12235142782700426
47,21.0,0.4863181127624918,0.3739931183697456
48,10.0,0.5680211506696138,0.27081178470062484
49,28.0,0.9302392228877792,0.35063467716731755
50,85.0,0.4804266240492391,0.9841776090948966
51,50.0,0.556149413507395,0.17963578263512586
52,116.0,0.4227241930919662,0.8826358540176924
53,84.0,0.9887861186544022,0.7242279844819126
54,77.0,0.8696603816268377,0.1738303264165298
55,107.0,0.9895668267073016,0.8341079984002202
56,150.0,0.7579570269750612,0.613249842337077
57,86.0,0.6758085195071779,0.7204331577907004
58,144.0,0.9823068128854496,0.5115995829664038
59,78.0,0.6089168391709388,0.838857912251471
60,139.0,0.8598617285702437,0.4941512294894026
61,97.0,0.5855771044930457,0.9405738193261788
62,99.0,0.8706266374609546,0.42757245360613794
63,105.0,0.5098182975887371,0.8882373175451292
64,54.0,0.4350049764137383,0.1781524908696166
65,104.0,0.5158667341421176,0.31594721192437397
66,125.0,0.5536369287549977,0.14295173423531193
67,56.0,0.947140595475644,0.7817089257495841
68,76.0,0.5199873151541032,0.4544327477222562
69,155.0,0.9156903771090118,0.12290460202587185
70,123.0,0.8152755792956522,0.7264012020900922
71,54.0,0.930907402171696,0.8691473536427925
72,61.0,0.4561373859940495,0.9293207727206768
73,50.0,0.7143269138912997,0.6569740642718048
74,130.0,0.5413100906626404,0.39368963786289696
75,95.0,0.7359004097727015,0.7778051159703553
76,137.0,0.4823846262399448,0.34290894063194466
77,74.0,0.6249204814398193,0.5149205038615835
78,90.0,0.4433417303398203,0.7800375407184084
79,148.0,0.835171469086108,0.2851211934672421
80,452.0,0.7340566973823961,0.7258594504039001
81,143.0,0.6339073564323761,0.6200157759005123
82,474.0,0.7907320800827361,0.2660011568370489
83,148.0,0.6359166390042784,0.5599087915205938
84,304.0,0.5329528266569299,0.7391007010108408
85,184.0,0.7667953649925365,0.4436185915992553
86,336.0,0.9296605057637042,0.6409430524376093
87,190.0,0.9269947929149944,0.677433121944671
88,389.0,0.5308076462917712,0.6432022853124435
89,392.0,0.7033695303332039,0.8100206840540983
90,64.0,0.8941121764796194,0.8769388092740391
91,53.0,0.9823258523599064,0.11851950354255353
92,113.0,0.6879696359477784,0.9460607923323208
93,143.0,0.7091157651211204,0.8191247669308956
94,94.0,0.4400117134877485,0.5655669289379549
95,66.0,0.5606747096446036,0.4838596744836238
96,73.0,0.5526034062629589,0.15966324213417032
97,96.0,0.6250975288575289,0.31512417489015565
98,92.0,0.5217702353742406,0.6698537543785225
99,47.0,0.6349735309535708,0.6616256481018794
100,226.0,0.6918592022258149,0.5180935629953235
101,413.0,0.7184482699273658,0.5718338698645559
102,228.0,0.7396779582652081,0.2838996783022786
103,290.0,0.6631271499218898,0.4223823010636154
104,442.0,0.5521330316599837,0.6399737721427836
105,198.0,0.4397423659270237,0.18910274255163603
106,411.0,0.7809074415944585,0.4295577996717392
107,473.0,0.9332048321347692,0.491944379319176
108,226.0,0.9325435830561469,0.7683130576945716
109,381.0,0.7332459916581214,0.9482211850283911
110,221.0,0.6570889276550104,0.9803962725712364
111,356.0,0.5158131613402058,0.6868386758068323
112,464.0,0.9616450105979032,0.17771192467433716
113,399.0,0.5695321186555203,0.7318717012236624
114,282.0,0.5196565692687054,0.39220791149619627
115,152.0,0.9048305115448806,0.12563207646768731
116,326.0,0.4086717479656492,0.4068516081173105
117,135.0,0.4777908487383089,0.7858799973759384
118,232.0,0.6641141068120405,0.8672262957512122
119,267.0,0.5747874051258854,0.520453294358527
120,413.0,0.7009517809954475,0.5761740467982781
121,556.0,0.9038711102263384,0.742491832950612
122,583.0,0.4382414369591109,0.22884323372055795
123,576.0,0.7732115906243796,0.2520884360078362
124,605.0,0.7601231180913441,0.28419465124300264
125,700.0,0.6473146499834985,0.9828561648714476
126,642.0,0.5117033683610697,0.16706657760984928
127,665.0,0.5322453642312635,0.3018809582172492
128,535.0,0.9094549628314916,0.7996402749335914
129,675.0,0.6354132525251514,0.5857151529747895
130,472.0,0.8269501649596366,0.13289498865190946
131,610.0,0.5301305747519292,0.5216206243012965
132,271.0,0.4337706668453609,0.5268178289498899
133,694.0,0.6833857826911207,0.3218725469268643
134,569.0,0.5842284190875021,0.1372389570076285
135,454.0,0.6637837838019898,0.28104346240454664
136,310.0,0.7015343733469909,0.1611491641688771
137,680.0,0.9240941449549516,0.6545949768015489
138,203.0,0.6938745881764001,0.536539398526119
139,293.0,0.8358591044279946,0.39427161575114944
140,221.0,0.7241383173645565,0.7208686133816149
141,676.0,0.4820029006670802,0.9860481925967164
142,455.0,0.5282100748012051,0.7209051852768601
143,671.0,0.4583619907482178,0.5000776179804165
144,621.0,0.9279888325291898,0.7035572340206783
145,762.0,0.6929716373024819,0.3635066639119523
146,620.0,0.8342096837061609,0.8013818740847437
147,399.0,0.9799467980980452,0.7393533144137502
148,453.0,0.9666221921098992,0.6333548837278641
149,297.0,0.657966008840568,0.3348099041451478
